"country","state","city","zip_code","lat_long","latitude","longitude","gender","senior_citizen","partner","dependents","tenure_months","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_billing","payment_method","monthly_charges","total_charges","churn_label"
"United States","California","Fallbrook",92028,"33.362575, -117.299644","33.362575","-117.299644","Female","No","No","No",38,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)","25.46","328.45","No"
"United States","California","Oakland",94609,"37.834341, -122.26437","37.834341","-122.26437","Female","Yes","Yes","Yes",18,"No","No phone service","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)","94.79","2747.22","No"
"United States","California","Rio Dell",95562,"40.485849, -124.163234","40.485849","-124.163234","Male","No","No","Yes",1,"No","Yes","No","No internet service","No","Yes","Yes","No internet service","No","Month-to-month","Yes","Mailed check","23.52","40.67","No"
"United States","California","Rio Dell",95562,"40.485849, -124.163234","40.485849","-124.163234","Male","No","No","Yes",1,"No","Yes","No","No internet service","No","Yes","Yes","No internet service","No","Month-to-month","Yes","Mailed check","23.52","40.67","No"
"United States","California","Scotts Valley",95066,"37.070177, -122.010077","37.070177","-122.010077","Male","No","Yes","No",58,"Yes","No","Fiber optic","No internet service","Yes","No internet service","No","No","No","Two year","Yes","Mailed check","36.66","1118.16","No"
"United States","California","Scotts Valley",95066,"37.070177, -122.010077","37.070177","-122.010077","Male","No","Yes","No",58,"Yes","No","Fiber optic","No internet service","Yes","No internet service","No","No","No","Two year","Yes","Mailed check","36.66","1118.16","No"
"United States","California","Strawberry Valley",95981,"39.58458, -121.093256","39.58458","-121.093256","Female","Yes","No","No",39,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","64.78","5082.26","No"
"United States","California","Strawberry Valley",95981,"39.58458, -121.093256","39.58458","-121.093256","Female","Yes","No","No",39,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","64.78","5082.26","No"
"United States","California","Gold Run",95717,"39.170376, -120.838404","39.170376","-120.838404","Female","No","No","No",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","19.16","454.74","No"
"United States","California","Gold Run",95717,"39.170376, -120.838404","39.170376","-120.838404","Female","No","No","No",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","19.16","454.74","No"
"United States","California","Sacramento",95842,"38.687367, -121.34848","38.687367","-121.34848","Female","No","Yes","Yes",9,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","104.05","2949.27","No"
"United States","California","Jacumba",91934,"32.649787, -116.2237","32.649787","-116.2237","Male","No","No","No",69,"Yes","No","DSL","Yes","Yes","No","No","No","No","Two year","No","Credit card (automatic)","83.83","5246.37","No"
"United States","California","Sacramento",95842,"38.687367, -121.34848","38.687367","-121.34848","Female","No","Yes","Yes",9,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","104.05","2949.27","No"
"United States","California","Los Alamos",93440,"34.758699, -120.275839","34.758699","-120.275839","Male","No","No","Yes",0,"Yes","No","No","No","No internet service","Yes","No","Yes","Yes","Two year","No","Mailed check","95.45","214.06","No"
"United States","California","Jacumba",91934,"32.649787, -116.2237","32.649787","-116.2237","Male","No","No","No",69,"Yes","No","DSL","Yes","Yes","No","No","No","No","Two year","No","Credit card (automatic)","83.83","5246.37","No"
"United States","California","San Francisco",94129,"37.797526, -122.464531","37.797526","-122.464531","Female","No","No","No",4,"Yes","No","No","No","No","No internet service","Yes","No internet service","No internet service","Month-to-month","Yes","Electronic check","18.57","58.94","No"
"United States","California","Los Alamos",93440,"34.758699, -120.275839","34.758699","-120.275839","Male","No","No","Yes",0,"Yes","No","No","No","No internet service","Yes","No","Yes","Yes","Two year","No","Mailed check","95.45","214.06","No"
"United States","California","Alamo",94507,"37.855717, -121.994813","37.855717","-121.994813","Female","No","Yes","Yes",32,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)","18.25","25.28","No"
"United States","California","Santa Barbara",93109,"34.406256, -119.726936","34.406256","-119.726936","Male","No","No","Yes",63,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","No","Mailed check","66.24","1842.07","No"
"United States","California","San Francisco",94129,"37.797526, -122.464531","37.797526","-122.464531","Female","No","No","No",4,"Yes","No","No","No","No","No internet service","Yes","No internet service","No internet service","Month-to-month","Yes","Electronic check","18.57","58.94","No"
"United States","California","San Diego",92131,"32.89325, -117.087091","32.89325","-117.087091","Male","No","No","No",53,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","114.11","5756.32","No"
"United States","California","San Jose",95134,"37.42765, -121.945416","37.42765","-121.945416","Male","No","Yes","No",0,"Yes","No","No","No","No internet service","No","No","Yes","Yes","Month-to-month","Yes","Mailed check","70.54","21.21","Yes"
"United States","California","Walnut Grove",95690,"38.240419, -121.587535","38.240419","-121.587535","Male","Yes","Yes","No",58,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)","64.01","1500.40","No"
"United States","California","Alamo",94507,"37.855717, -121.994813","37.855717","-121.994813","Female","No","Yes","Yes",32,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)","18.25","25.28","No"
"United States","California","La Mirada",90638,"33.902045, -118.008961","33.902045","-118.008961","Female","No","No","Yes",71,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Bank transfer (automatic)","111.86","6360.30","No"
"United States","California","Santa Barbara",93109,"34.406256, -119.726936","34.406256","-119.726936","Male","No","No","Yes",63,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","No","Mailed check","66.24","1842.07","No"
"United States","California","Glendale",91207,"34.182378, -118.262922","34.182378","-118.262922","Female","No","No","No",1,"No","Yes","Fiber optic","Yes","No","No","No","Yes","No","Two year","Yes","Bank transfer (automatic)","57.86","165.77","No"
"United States","California","San Diego",92131,"32.89325, -117.087091","32.89325","-117.087091","Male","No","No","No",53,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","114.11","5756.32","No"
"United States","California","Washington",95986,"39.34128, -120.786867","39.34128","-120.786867","Female","No","Yes","No",12,"Yes","No","No","No internet service","No internet service","No","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check","19.34","226.60","No"
"United States","California","Hinkley",92347,"34.983808, -117.239306","34.983808","-117.239306","Male","No","Yes","No",56,"Yes","Yes","Fiber optic","Yes","No","Yes","No internet service","No","Yes","One year","Yes","Credit card (automatic)","65.09","4453.88","No"
"United States","California","Napa",94558,"38.489789, -122.27011","38.489789","-122.27011","Male","No","No","No",8,"Yes","No","No","No","No internet service","No internet service","No internet service","Yes","No internet service","Month-to-month","No","Electronic check","20.41","20.78","No"
"United States","California","Inverness",94937,"38.099323, -122.945723","38.099323","-122.945723","Female","Yes","Yes","Yes",37,"No","No","DSL","Yes","Yes","No","No","Yes","No internet service","One year","Yes","Credit card (automatic)","76.88","2237.59","No"
"United States","California","San Jose",95134,"37.42765, -121.945416","37.42765","-121.945416","Male","No","Yes","No",0,"Yes","No","No","No","No internet service","No","No","Yes","Yes","Month-to-month","Yes","Mailed check","70.54","21.21","Yes"
"United States","California","San Diego",92120,"32.807867, -117.060993","32.807867","-117.060993","Male","No","No","Yes",15,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","61.27","360.75","No"
"United States","California","Twain Harte",95383,"38.107441, -120.230625","38.107441","-120.230625","Female","No","Yes","Yes",72,"Yes","No","Fiber optic","No","No","No internet service","No internet service","Yes","Yes","Month-to-month","Yes","Electronic check","100.62","7161.51","No"
"United States","California","Walnut Grove",95690,"38.240419, -121.587535","38.240419","-121.587535","Male","Yes","Yes","No",58,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)","64.01","1500.40","No"
"United States","California","Pleasanton",94588,"37.685052, -121.912061","37.685052","-121.912061","Female","No","Yes","Yes",10,"Yes","No","DSL","Yes","No","No","No","No","Yes","One year","Yes","Bank transfer (automatic)","63.42","1712.22","No"
"United States","California","Irvine",92602,"33.720359, -117.733655","33.720359","-117.733655","Male","No","Yes","No",68,"Yes","No phone service","Fiber optic","No internet service","Yes","No","Yes","No internet service","Yes","One year","Yes","Credit card (automatic)","73.31","6180.29","No"
"United States","California","Sanger",93657,"36.819628, -119.440414","36.819628","-119.440414","Female","Yes","Yes","No",3,"Yes","Yes","DSL","No","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)","68.96","1753.62","No"
"United States","California","La Mirada",90638,"33.902045, -118.008961","33.902045","-118.008961","Female","No","No","Yes",71,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Bank transfer (automatic)","111.86","6360.30","No"
"United States","California","Modesto",95350,"37.671806, -121.007575","37.671806","-121.007575","Female","No","Yes","Yes",1,"Yes","Yes","DSL","No","No internet service","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)","25.29","87.07","No"
"United States","California","Glendale",91207,"34.182378, -118.262922","34.182378","-118.262922","Female","No","No","No",1,"No","Yes","Fiber optic","Yes","No","No","No","Yes","No","Two year","Yes","Bank transfer (automatic)","57.86","165.77","No"
"United States","California","Fresno",93703,"36.768774, -119.762633","36.768774","-119.762633","Female","Yes","No","Yes",1,"Yes","Yes","DSL","No","No","No","No internet service","No","No internet service","Month-to-month","Yes","Electronic check","29.02","68.13","No"
"United States","California","Washington",95986,"39.34128, -120.786867","39.34128","-120.786867","Female","No","Yes","No",12,"Yes","No","No","No internet service","No internet service","No","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check","19.34","226.60","No"
"United States","California","San Ysidro",92173,"32.555828, -117.040073","32.555828","-117.040073","Male","Yes","Yes","No",17,"Yes","No phone service","Fiber optic","No","No internet service","Yes","Yes","No","No internet service","Two year","Yes","Bank transfer (automatic)","75.49","2913.94","No"
"United States","California","Hinkley",92347,"34.983808, -117.239306","34.983808","-117.239306","Male","No","Yes","No",56,"Yes","Yes","Fiber optic","Yes","No","Yes","No internet service","No","Yes","One year","Yes","Credit card (automatic)","65.09","4453.88","No"
"United States","California","Los Angeles",90058,"34.001617, -118.222274","34.001617","-118.222274","Male","No","No","Yes",52,"No","Yes","DSL","No internet service","Yes","Yes","No","No","No","Two year","Yes","Mailed check","43.19","2312.09","No"
"United States","California","Bieber",96009,"41.083464, -121.107929","41.083464","-121.107929","Male","Yes","No","No",2,"Yes","Yes","DSL","No","No","No internet service","No","No","No","Month-to-month","No","Mailed check","46.99","318.85","No"
"United States","California","Napa",94558,"38.489789, -122.27011","38.489789","-122.27011","Male","No","No","No",8,"Yes","No","No","No","No internet service","No internet service","No internet service","Yes","No internet service","Month-to-month","No","Electronic check","20.41","20.78","No"
"United States","California","Garden Grove",92844,"33.766476, -117.969795","33.766476","-117.969795","Female","No","No","No",62,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)","94.88","3852.07","No"
"United States","California","Inverness",94937,"38.099323, -122.945723","38.099323","-122.945723","Female","Yes","Yes","Yes",37,"No","No","DSL","Yes","Yes","No","No","Yes","No internet service","One year","Yes","Credit card (automatic)","76.88","2237.59","No"
"United States","California","Hornbrook",96044,"41.962127, -122.527696","41.962127","-122.527696","Female","Yes","Yes","No",45,"Yes","No","Fiber optic","No internet service","No","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)","67.09","2251.65","No"
"United States","California","San Diego",92120,"32.807867, -117.060993","32.807867","-117.060993","Male","No","No","Yes",15,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","61.27","360.75","No"
"United States","California","Twain Harte",95383,"38.107441, -120.230625","38.107441","-120.230625","Female","No","Yes","Yes",72,"Yes","No","Fiber optic","No","No","No internet service","No internet service","Yes","Yes","Month-to-month","Yes","Electronic check","100.62","7161.51","No"
"United States","California","Pleasanton",94588,"37.685052, -121.912061","37.685052","-121.912061","Female","No","Yes","Yes",10,"Yes","No","DSL","Yes","No","No","No","No","Yes","One year","Yes","Bank transfer (automatic)","63.42","1712.22","No"
"United States","California","Buttonwillow",93206,"35.451402, -119.488413","35.451402","-119.488413","Male","Yes","No","Yes",36,"Yes","No","Fiber optic","No","No","Yes","Yes","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)","68.17","2209.46","No"
"United States","California","Santa Ana",92706,"33.765893, -117.881533","33.765893","-117.881533","Female","No","No","No",48,"Yes","Yes","DSL","No internet service","Yes","Yes","Yes","No","No internet service","Two year","Yes","Electronic check","86.29","5905.19","No"
"United States","California","Irvine",92602,"33.720359, -117.733655","33.720359","-117.733655","Male","No","Yes","No",68,"Yes","No phone service","Fiber optic","No internet service","Yes","No","Yes","No internet service","Yes","One year","Yes","Credit card (automatic)","73.31","6180.29","No"
"United States","California","Homeland",92548,"33.761894, -117.120868","33.761894","-117.120868","Female","No","Yes","Yes",30,"Yes","No phone service","Fiber optic","No internet service","No","No internet service","No internet service","No internet service","Yes","Month-to-month","Yes","Bank transfer (automatic)","27.46","396.78","No"
"United States","California","San Diego",92102,"32.716007, -117.117462","32.716007","-117.117462","Male","No","No","Yes",38,"Yes","No","No","No internet service","No","No internet service","No","Yes","No internet service","Month-to-month","Yes","Mailed check","49.65","1945.01","No"
"United States","California","Sanger",93657,"36.819628, -119.440414","36.819628","-119.440414","Female","Yes","Yes","No",3,"Yes","Yes","DSL","No","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)","68.96","1753.62","No"
"United States","California","Modesto",95350,"37.671806, -121.007575","37.671806","-121.007575","Female","No","Yes","Yes",1,"Yes","Yes","DSL","No","No internet service","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)","25.29","87.07","No"
"United States","California","Covina",91723,"34.084747, -117.886844","34.084747","-117.886844","Male","Yes","Yes","No",25,"Yes","Yes","Fiber optic","No internet service","No internet service","Yes","No","Yes","No","Month-to-month","Yes","Electronic check","56.85","293.82","No"
"United States","California","Downieville",95936,"39.578792, -120.780786","39.578792","-120.780786","Male","No","No","Yes",1,"Yes","No","Fiber optic","No internet service","No internet service","Yes","No internet service","Yes","No internet service","One year","No","Bank transfer (automatic)","20.43","76.08","No"
"United States","California","Los Angeles",90068,"34.137411, -118.328915","34.137411","-118.328915","Male","No","Yes","No",21,"No","No phone service","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","18.64","339.72","No"
"United States","California","Fresno",93703,"36.768774, -119.762633","36.768774","-119.762633","Female","Yes","No","Yes",1,"Yes","Yes","DSL","No","No","No","No internet service","No","No internet service","Month-to-month","Yes","Electronic check","29.02","68.13","No"
"United States","California","Los Gatos",95032,"37.233034, -121.947427","37.233034","-121.947427","Male","Yes","No","No",12,"No","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","54.96","193.24","Yes"
"United States","California","San Ysidro",92173,"32.555828, -117.040073","32.555828","-117.040073","Male","Yes","Yes","No",17,"Yes","No phone service","Fiber optic","No","No internet service","Yes","Yes","No","No internet service","Two year","Yes","Bank transfer (automatic)","75.49","2913.94","No"
"United States","California","San Leandro",94578,"37.704384, -122.126703","37.704384","-122.126703","Male","No","No","No",60,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Bank transfer (automatic)","103.56","5743.93","No"
"United States","California","Angels Camp",95222,"38.071327, -120.632221","38.071327","-120.632221","Female","Yes","Yes","No",33,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check","100.89","1300.68","No"
"United States","California","Beaumont",92223,"33.946982, -116.977672","33.946982","-116.977672","Male","No","Yes","Yes",47,"Yes","No","Fiber optic","No","No internet service","Yes","No","Yes","No","Month-to-month","No","Mailed check","104.56","4087.92","No"
"United States","California","Bethel Island",94511,"38.050558, -121.646924","38.050558","-121.646924","Female","Yes","Yes","Yes",6,"Yes","No","No","No","No internet service","No internet service","No internet service","Yes","No internet service","One year","Yes","Bank transfer (automatic)","18.70","6.74","No"
"United States","California","Upland",91786,"34.105493, -117.660934","34.105493","-117.660934","Male","No","No","Yes",0,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","60.50","1.11","No"
"United States","California","Ramona",92065,"33.044541, -116.833922","33.044541","-116.833922","Male","No","No","Yes",43,"Yes","No","No","No internet service","No","Yes","No internet service","No","No internet service","Two year","No","Bank transfer (automatic)","33.93","1226.00","No"
"United States","California","Los Angeles",90058,"34.001617, -118.222274","34.001617","-118.222274","Male","No","No","Yes",52,"No","Yes","DSL","No internet service","Yes","Yes","No","No","No","Two year","Yes","Mailed check","43.19","2312.09","No"
"United States","California","Monte Rio",95462,"38.471049, -123.015549","38.471049","-123.015549","Male","No","Yes","Yes",57,"Yes","No","Fiber optic","No internet service","No","Yes","Yes","No internet service","No internet service","Two year","No","Credit card (automatic)","48.08","2339.15","No"
"United States","California","Williams",95987,"39.117537, -122.284654","39.117537","-122.284654","Female","No","No","No",22,"Yes","Yes","Fiber optic","No internet service","No internet service","Yes","Yes","Yes","Yes","Month-to-month","No","Electronic check","30.59","2013.95","No"
"United States","California","Bieber",96009,"41.083464, -121.107929","41.083464","-121.107929","Male","Yes","No","No",2,"Yes","Yes","DSL","No","No","No internet service","No","No","No","Month-to-month","No","Mailed check","46.99","318.85","No"
"United States","California","Garden Grove",92844,"33.766476, -117.969795","33.766476","-117.969795","Female","No","No","No",62,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)","94.88","3852.07","No"
"United States","California","Hornbrook",96044,"41.962127, -122.527696","41.962127","-122.527696","Female","Yes","Yes","No",45,"Yes","No","Fiber optic","No internet service","No","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)","67.09","2251.65","No"
"United States","California","Clipper Mills",95930,"39.562239, -121.14836","39.562239","-121.14836","Female","Yes","Yes","No",58,"Yes","Yes","DSL","No","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)","105.47","3884.04","No"
"United States","California","Saint Helena",94574,"38.581354, -122.296283","38.581354","-122.296283","Male","No","Yes","No",66,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","117.69","5231.80","No"
"United States","California","Fullerton",92833,"33.877639, -117.961212","33.877639","-117.961212","Female","No","No","No",1,"Yes","No","Fiber optic","No internet service","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","23.63","273.35","Yes"
"United States","California","San Diego",92127,"33.017518, -117.118456","33.017518","-117.118456","Female","No","No","No",7,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)","87.73","437.34","No"
"United States","California","Los Angeles",90013,"34.044639, -118.240413","34.044639","-118.240413","Female","No","Yes","No",7,"No","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","66.05","1093.79","No"
"United States","California","Bass Lake",93604,"37.458367, -119.345011","37.458367","-119.345011","Male","No","No","No",4,"Yes","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)","29.13","412.84","No"
"United States","California","Anaheim",92805,"33.830209, -117.906099","33.830209","-117.906099","Female","Yes","No","Yes",40,"No","No","Fiber optic","No","No","Yes","Yes","No internet service","No","Month-to-month","No","Mailed check","51.68","434.20","No"
"United States","California","Buttonwillow",93206,"35.451402, -119.488413","35.451402","-119.488413","Male","Yes","No","Yes",36,"Yes","No","Fiber optic","No","No","Yes","Yes","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)","68.17","2209.46","No"
"United States","California","Grass Valley",95945,"39.194539, -120.988066","39.194539","-120.988066","Male","Yes","No","No",43,"Yes","No","No","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","89.82","675.97","No"
"United States","California","Glenhaven",95443,"39.045246, -122.743181","39.045246","-122.743181","Female","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","One year","No","Mailed check","78.16","8425.34","No"
"United States","California","Santa Ana",92706,"33.765893, -117.881533","33.765893","-117.881533","Female","No","No","No",48,"Yes","Yes","DSL","No internet service","Yes","Yes","Yes","No","No internet service","Two year","Yes","Electronic check","86.29","5905.19","No"
"United States","California","Chowchilla",93610,"37.100948, -120.270136","37.100948","-120.270136","Female","No","Yes","No",38,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check","19.31","1806.02","No"
"United States","California","Homeland",92548,"33.761894, -117.120868","33.761894","-117.120868","Female","No","Yes","Yes",30,"Yes","No phone service","Fiber optic","No internet service","No","No internet service","No internet service","No internet service","Yes","Month-to-month","Yes","Bank transfer (automatic)","27.46","396.78","No"
"United States","California","San Diego",92102,"32.716007, -117.117462","32.716007","-117.117462","Male","No","No","Yes",38,"Yes","No","No","No internet service","No","No internet service","No","Yes","No internet service","Month-to-month","Yes","Mailed check","49.65","1945.01","No"
"United States","California","Covina",91723,"34.084747, -117.886844","34.084747","-117.886844","Male","Yes","Yes","No",25,"Yes","Yes","Fiber optic","No internet service","No internet service","Yes","No","Yes","No","Month-to-month","Yes","Electronic check","56.85","293.82","No"
"United States","California","Ventura",93004,"34.278697, -119.167798","34.278697","-119.167798","Female","No","Yes","No",51,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No internet service","One year","Yes","Credit card (automatic)","57.23","3700.69","No"
"United States","California","Twentynine Palms",92278,"34.457829, -116.139589","34.457829","-116.139589","Male","Yes","No","No",55,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","56.65","2230.85","No"
"United States","California","Redwood City",94061,"37.461251, -122.235414","37.461251","-122.235414","Male","Yes","No","No",41,"Yes","No","No","No internet service","No","No internet service","Yes","Yes","No internet service","One year","No","Bank transfer (automatic)","56.79","4209.93","No"
"United States","California","Downieville",95936,"39.578792, -120.780786","39.578792","-120.780786","Male","No","No","Yes",1,"Yes","No","Fiber optic","No internet service","No internet service","Yes","No internet service","Yes","No internet service","One year","No","Bank transfer (automatic)","20.43","76.08","No"
"United States","California","Los Angeles",90068,"34.137411, -118.328915","34.137411","-118.328915","Male","No","Yes","No",21,"No","No phone service","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","18.64","339.72","No"
"United States","California","San Bernardino",92404,"34.183286, -117.221722","34.183286","-117.221722","Male","No","Yes","No",68,"Yes","No","No","No","Yes","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)","89.84","5827.83","No"
"United States","California","San Mateo",94403,"37.538309, -122.305109","37.538309","-122.305109","Female","Yes","No","No",1,"No","No phone service","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","115.23","3066.31","No"
"United States","California","Fish Camp",93623,"37.483535, -119.679414","37.483535","-119.679414","Male","No","Yes","No",5,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No","No","Yes","Month-to-month","No","Mailed check","55.70","1169.10","No"
"United States","California","Azusa",91702,"34.174493, -117.87068","34.174493","-117.87068","Female","No","Yes","Yes",2,"Yes","No","DSL","Yes","No","No","No","Yes","No","Two year","No","Mailed check","89.40","1528.91","No"
"United States","California","Milpitas",95035,"37.441931, -121.878502","37.441931","-121.878502","Female","No","No","Yes",12,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","No","Electronic check","115.09","5823.23","No"
"United States","California","Claremont",91711,"34.127621, -117.717863","34.127621","-117.717863","Male","No","No","No",61,"Yes","No phone service","DSL","Yes","Yes","No","No","No","No","Two year","Yes","Bank transfer (automatic)","112.80","5287.91","No"
"United States","California","Los Gatos",95032,"37.233034, -121.947427","37.233034","-121.947427","Male","Yes","No","No",12,"No","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","54.96","193.24","Yes"
"United States","California","Orange",92866,"33.784597, -117.844535","33.784597","-117.844535","Female","Yes","No","Yes",4,"Yes","No phone service","DSL","No","Yes","No","No","Yes","No","Two year","Yes","Electronic check","76.97","692.99","No"
